Entrance Description,Routes,Entrance Latitude,Entrance Longitude
68th St-Hunter College - Lexington Ave & 68th St (SW),6,40.767817,-73.964355
68th St-Hunter College - Lexington Ave & 68th St (SW),6,40.76787,-73.964244
77th St - Lexington Ave & 77th St (NE),6,40.773603,-73.959578
77th St - Lexington Ave & 77th St (NE),6,40.773631,-73.959659
77th St - Lexington Ave & 77th St (SE),6,40.773526,-73.959734
77th St - Lexington Ave & 77th St (SW),6,40.773636,-73.96006
77th St - Lexington Ave & 77th St (NW),6,40.773779,-73.960041
77th St - Lexington Ave & 77th St (NW),6,40.773779,-73.959954
77th St - Lexington Ave & 77th St (SW),6,40.773669,-73.960135
77th St - Lexington Ave & 77th St (SE),6,40.773493,-73.959659
86th St - Lexington Ave & 86th St (SE),"4,5,6",40.77933,-73.955545
86th St - Lexington Ave & 86th St (NE),"4,5,6",40.779577,-73.955304
86th St - Lexington Ave & 86th St (NE),"4,5,6",40.779661,-73.955302
86th St - Lexington Ave & 86th St (NW),"4,5,6",40.77972,-73.955596
86th St - Lexington Ave & 86th St (SW),"4,5,6",40.779427,-73.95581
86th St - Lexington Ave & 86th St (NW),"4,5,6",40.779718,-73.955719
86th St - Lexington Ave & 86th St (SW),"4,5,6",40.779468,-73.955905
86th St - Lexington Ave & 86th St (SE),"4,5,6",40.779284,-73.955443
96th St - Lexington Ave & 96th St (SW),6,40.785843,-73.951232
96th St - Lexington Ave & 96th St (SE),6,40.78564,-73.95093
96th St - Lexington Ave & 96th St (NW),6,40.786055,-73.951057
96th St - Lexington Ave & 96th St (NE),6,40.785903,-73.950695
Astor Place - 4th Ave & East 8th St (NE),6,40.730084,-73.990838
Astor Place - Lafayette St & Astor Pl (NW),6,40.729968,-73.99141
Bleecker St - Lafayette St & Bleecker St (NW),"B,D,F,M,6",40.726047,-73.994759
Bleecker St -  &  (),"B,D,F,M,6",40.725137,-73.994938
Bleecker St - Lafayette St & Mulberry St (NE),"B,D,F,M,6",40.725845,-73.99432
Bleecker St - Lafayette St & Mulberry St (SE),"B,D,F,M,6",40.725755,-73.994367
Bleecker St - Lafayette St & Mulberry St (SW),"B,D,F,M,6",40.725726,-73.994579
Bleecker St -  &  (),"B,D,F,M,6",40.724888,-73.995291
Bleecker St - Lafayette St & Bleecker St (SW),"B,D,F,M,6",40.725958,-73.994829
Borough Hall - Court St & Joralemon St (SW),"R,2,3,4,5",40.692489,-73.991193
Borough Hall - Court St & Joralemon St (NE),"R,2,3,4,5",40.692548,-73.990099
Borough Hall - Court St & Joralemon St (SE),"R,2,3,4,5",40.692299,-73.990301
Borough Hall - Court St & Joralemon St (SE),"R,2,3,4,5",40.69234,-73.99056
Borough Hall - Court St & Joralemon St (NE),"R,2,3,4,5",40.692588,-73.990572
Bowling Green - Broadway & Battery Pl (NW),"4,5",40.704795,-74.014454
Bowling Green - State & Battery Pl (SW),"4,5",40.704659,-74.01392
Bowling Green - Broadway & Bowling Green (NW),"4,5",40.704629,-74.013502
Bowling Green - Broadway & Battery Pl (NW),"4,5",40.704825,-74.014572
Bowling Green - State & Battery Pl (SW),"4,5",40.704157,-74.014509
Brooklyn Bridge-City Hall - Centre St & Reade St (NW),"J,Z,4,5,6",40.713839,-74.003864
Brooklyn Bridge-City Hall - Centre St & Brooklyn Bridge Approach (NW),"J,Z,4,5,6",40.712868,-74.004806
Brooklyn Bridge-City Hall - Centre St & Brooklyn Bridge Approach (NW),"J,Z,4,5,6",40.712723,-74.004971
Brooklyn Bridge-City Hall - Centre St & Brooklyn Bridge Approach (NE),"J,Z,4,5,6",40.712333,-74.004387
Brooklyn Bridge-City Hall - Nassau St & Frankfort St (SE),"J,Z,4,5,6",40.711857,-74.005114
Brooklyn Bridge-City Hall - Nassau St & Frankfort St (SE),"J,Z,4,5,6",40.711824,-74.005057
Brooklyn Bridge-City Hall - Lafayette St & Reade St (NW),"J,Z,4,5,6",40.713721,-74.003734
Brooklyn Bridge-City Hall - Centre St & Reade St (NW),"J,Z,4,5,6",40.713899,-74.003642
Canal St - Lafayette St & Canal St (NW),"J,N,Q,R,Z,6",40.718638,-74.000623
Canal St - Lafayette St & Canal St (SE),"J,N,Q,R,Z,6",40.718155,-74.000317
Canal St - Lafayette St & Canal St (SE),"J,N,Q,R,Z,6",40.718197,-74.000388
Canal St - Lafayette St & Canal St (NE),"J,N,Q,R,Z,6",40.718304,-74.000138
Canal St - Lafayette St & Canal St (NE),"J,N,Q,R,Z,6",40.718358,-74.000216
Canal St - Lafayette St & Canal St (NW),"J,N,Q,R,Z,6",40.718589,-74.000552
Canal St - Lafayette St & Canal St (SW),"J,N,Q,R,Z,6",40.718506,-74.000826
Fulton St - Broadway & Fulton St (NW),"A,C,J,Z,2,3,4,5.0",40.711026,-74.00919
Fulton St - Broadway & John St (SE),"A,C,J,Z,2,3,4,5.0",40.710166,-74.009424
Fulton St - Broadway & John St (NE),"A,C,J,Z,2,3,4,5.0",40.710165,-74.009182
Fulton St - Broadway & Fulton St (SW),"A,C,J,Z,2,3,4,5.0",40.710944,-74.009403
Fulton St - Broadway & Fulton St (NW),"A,C,J,Z,2,3,4,5.0",40.711112,-74.009382
Grand Central-42nd St - Park Ave & 42nd St (SE),"GS,4,5,6,7",40.751741,-73.977691
Grand Central-42nd St - Park Ave & 42nd St (SE),"GS,4,5,6,7",40.751653,-73.977753
Grand Central-42nd St - Lexington Ave & 42nd St (SW),"GS,4,5,6,7",40.751352,-73.976396
Grand Central-42nd St - Park Ave & 42nd St (SE),"GS,4,5,6,7",40.751647,-73.977382
Grand Central-42nd St - Park Ave & 42nd St (SE),"GS,4,5,6,7",40.751721,-73.977197
Grand Central-42nd St - Lexington Ave & 43rd St (SE),"GS,4,5,6,7",40.751801,-73.975294
Grand Central-42nd St - Lexington Ave & 42nd St (NE),"GS,4,5,6,7",40.751345,-73.975409
Grand Central-42nd St - Lexington Ave & 42nd St (NW),"GS,4,5,6,7",40.751701,-73.976087
Spring St - Lafayette St & Spring St (SE),6,40.722116,-73.996912
Spring St - Lafayette St & Spring St (NE),6,40.722235,-73.996818
Spring St - Lafayette St & Spring St (NW),6,40.722468,-73.997397
Spring St - Lafayette St & Spring St (SW),6,40.72239,-73.997437
Wall St - Broadway & Wall St (SE),"4,5",40.707446,-74.011848
Wall St - Broadway & Rector St (NW),"4,5",40.707671,-74.011854
Wall St - Broadway & Rector St (NW),"4,5",40.707577,-74.011927
Wall St - Broadway & Rector St (SW),"4,5",40.707428,-74.012067
Wall St - Broadway & Rector St (SW),"4,5",40.707315,-74.012161
Wall St - Broadway & Rector St (SE),"4,5",40.708436,-74.011298
Wall St - Broadway & Wall St (SE),"4,5",40.707577,-74.011731
Wall St - Broadway & Rector St (SE),"4,5",40.70719,-74.011997
Junius St - Powell St & Livonia Ave (SW),3,40.663361,-73.903063
Junius St - Powell St & Livonia Ave (SW),3,40.663426,-73.902636
New Lots Av - Ashford St & Livonia Ave (NW),3,40.666413,-73.883307
New Lots Av - Ashford St & Livonia Ave (SW),3,40.666285,-73.883276
Pennsylvania Av - Pennsylvania Ave & Livonia Ave (NE),3,40.664869,-73.893779
Pennsylvania Av - Pennsylvania Ave & Livonia Ave (SW),3,40.664575,-73.894117
Rockaway Av - Rockaway Ave & Livonia Ave (SE),3,40.662401,-73.908809
Rockaway Av - Rockaway Ave & Livonia Ave (NW),3,40.662703,-73.909033
Saratoga Av - Saratoga Ave & Livonia Ave (SE),3,40.661558,-73.915225
Saratoga Av - Saratoga Ave & Livonia Ave (SW),3,40.661401,-73.915543
Saratoga Av - Saratoga Ave & Livonia Ave (NE),3,40.661689,-73.91524
Sutter Av - Rutland Rd & E. 98th St (NE),3,40.664891,-73.922675
Sutter Av - Rutland Rd & E. 98th St (NW),3,40.66516,-73.92297
Sutter Av - Rutland Rd & E. 98th St (SW),3,40.664887,-73.923109
Van Siclen Av - Van Siclen Ave & Livonia Ave (NW),3,40.66574,-73.888613
Van Siclen Av - Van Siclen Ave & Livonia Ave (SE),3,40.665431,-73.888386
Beverly Rd - Nostrand Ave & Beverly Rd (SE),"2,5",40.645046,-73.948684
Beverly Rd - Nostrand Ave & Beverly Rd (SW),"2,5",40.645016,-73.949213
Church Av - Nostrand & Church (SW),"2,5",40.650717,-73.949741
Church Av - Nostrand Ave & Church Ave (SW),"2,5",40.65064,-73.949677
Church Av - Nostrand Ave & Church Ave (SE),"2,5",40.65064,-73.949429
Church Av - Nostrand Ave & Church Ave (NE),"2,5",40.65091,-73.949416
Church Av - Nostrand Ave & Church Ave (SE),"2,5",40.650748,-73.949384
Church Av - Nostrand Ave & Church Ave (NW),"2,5",40.650969,-73.949714
Church Av - Nostrand Ave & Church Ave (NW),"2,5",40.650894,-73.949819
Flatbush Av-Brooklyn College - Nostrand Ave & Flatbush Ave (NW),"2,5",40.63327,-73.947929
Flatbush Av-Brooklyn College - Nostrand Ave & Flatbush Ave (NE),"2,5",40.632868,-73.947547
Flatbush Av-Brooklyn College - Nostrand Ave & Flatbush Ave (NE),"2,5",40.63275,-73.947375
Flatbush Av-Brooklyn College - Nostrand Ave & Flatbush Ave (SE),"2,5",40.632324,-73.947482
Flatbush Av-Brooklyn College - Nostrand Ave & Flatbush Ave (NE),"2,5",40.632359,-73.947389
Flatbush Av-Brooklyn College - Nostrand Ave & Flatbush Ave (NE),"2,5",40.632463,-73.947518
Flatbush Av-Brooklyn College - Nostrand Ave & Flatbush Ave (NW),"2,5",40.633297,-73.947836
Flatbush Av-Brooklyn College - Nostrand Ave & Avenue H (NE),"2,5",40.631845,-73.947665
Newkirk Av - Nostrand Ave & Newkirk Ave (SW),"2,5",40.639883,-73.948701
Newkirk Av - Nostrand Ave & Avenue D (SW),"2,5",40.640743,-73.948597
Newkirk Av - Nostrand Ave & Newkirk Ave (SE),"2,5",40.639924,-73.948161
President St - Nostrand Ave & President St (NW),"2,5",40.668166,-73.950862
President St - Nostrand Ave & President St (NE),"2,5",40.668145,-73.950458
Sterling St - Nostrand Ave & Sterling St (NW),"2,5",40.66329,-73.951044
Sterling St - Nostrand Ave & Sterling St (NE),"2,5",40.663226,-73.95067
Winthrop St - Nostrand Ave & Parkside Ave (SW),"2,5",40.656171,-73.950346
Winthrop St - Nostrand Ave & Winthrop St (NE),"2,5",40.657184,-73.949976
138th St-3rd Ave - Alexander Ave & 138th St (NW),6,40.810241,-73.925267
138th St-3rd Ave - Alexander Ave & 138th St (NW),6,40.810282,-73.925386
138th St-3rd Ave - Alexander Ave & 138th St (SW),6,40.810102,-73.925641
138th St-3rd Ave - Lincoln Ave & 138th St (SE),6,40.810638,-73.926883
138th St-3rd Ave - Lincoln Ave & 138th St (SE),6,40.810712,-73.92705
138th St-3rd Ave - 3rd Ave & 138th St (NE),6,40.810831,-73.926655
138th St-3rd Ave - Alexander Ave & 138th St (SW),6,40.810019,-73.925438
Brook Av - Brook Ave & 138th St (NW),6,40.807747,-73.919347
Brook Av - Brook Ave & 138th St (NE),6,40.80758,-73.918957
Brook Av - Brook Ave & 138th St (SW),6,40.807467,-73.919448
Brook Av - Brook Ave & 138th St (SE),6,40.807355,-73.919219
Buhre Av - Edison Ave & Westchester Ave (NE),6,40.847185,-73.832264
Buhre Av - Edison Ave & Buhre Ave (SW),6,40.846891,-73.832639
Buhre Av - Edison Ave & Westchester Ave (SE),6,40.846795,-73.832405
Castle Hill Av - Castle Hill Ave & Westchester Ave (SW),6,40.834093,-73.851857
Castle Hill Av - Castle Hill Ave & Westchester Ave (NE),6,40.834321,-73.85144
Cypress Av - Cypress Ave & 138th St (NE),6,40.805234,-73.913391
Cypress Av - Cypress Ave & 138th St (NE),6,40.805155,-73.913208
Cypress Av - Cypress Ave & 138th St (SE),6,40.805047,-73.913524
Cypress Av - Cypress Ave & 138th St (SW),6,40.805171,-73.913933
East 143rd St-St Mary's St - Southern Blvd & St Mary's St (SW),6,40.808179,-73.908065
East 143rd St-St Mary's St - Southern Blvd & St Mary's St (SE),6,40.80803,-73.90772
East 143rd St-St Mary's St - Southern Blvd & St Mary's St (NE),6,40.80834,-73.907618
East 143rd St-St Mary's St - Southern Blvd & St Mary's St (NW),6,40.808322,-73.908002
East 149th St - Southern Blvd & 149th St (NE),6,40.812027,-73.903869
East 149th St - Southern Blvd & 149th St (SE),6,40.811887,-73.904145
East 149th St - Southern Blvd & 149th St (NW),6,40.812367,-73.903797
East 149th St - Southern Blvd & 149th St (NW),6,40.812331,-73.904102
Elder Av - Elder Ave & Westchester Ave (NE),6,40.828688,-73.879018
Elder Av - Elder Ave & Westchester Ave (SW),6,40.82846,-73.879362
Hunts Point Av - Hunts Point Ave & 163rd St (SE),6,40.820819,-73.890442
Hunts Point Av - Hunts Point Ave & 163rd St (SW),6,40.820614,-73.891519
Hunts Point Av - Hunts Point Ave & 163rd St (SE),6,40.820591,-73.890836
Longwood Av - Southern Blvd & Longwood Ave (NE),6,40.816367,-73.895924
Longwood Av - Southern Blvd & Longwood Ave (NW),6,40.81652,-73.896224
Longwood Av - Southern Blvd & Longwood Ave (SE),6,40.816137,-73.896133
Longwood Av - Southern Blvd & Longwood Ave (SW),6,40.816263,-73.896506
Middletown Rd - Westchester Ave & Middletown Rd (NE),6,40.843609,-73.836478
Middletown Rd - Westchester Ave & Middletown Rd (NW),6,40.843935,-73.836386
Morrison Av-Soundview Av - Morrison Ave & Westchester Ave (SW),6,40.829371,-73.874731
Morrison Av-Soundview Av - Morrison Ave & Westchester (NE),6,40.829641,-73.874447
Morrison Av-Soundview Av - Morrison Ave & Westchester Ave (NW),6,40.829517,-73.87486
Parkchester-East 177th St - Metropolitan Ave & Westchester Ave (NW),6,40.833225,-73.860888
Pelham Bay Park - Burr Ave & Westchester Ave (SE),6,40.852824,-73.827035
Pelham Bay Park -  &  (),6,40.853041,-73.826991
Pelham Bay Park - Burr Ave & Westchester Ave (NE),6,40.853012,-73.827172
Pelham Bay Park - Burr Ave & Westchester Ave (NE),6,40.852377,-73.825986
Pelham Bay Park -  &  (),6,40.852803,-73.827195
St Lawrence Av - St Lawrence Ave & Westchester Ave (SW),6,40.831466,-73.86741
St Lawrence Av - St Lawrence Ave & Westchester Ave (NE),6,40.831765,-73.867078
Westchester Square-East Tremont Av - Westchester Ave & Ferris Pl (SW),6,40.840128,-73.842875
Whitlock Av - Whitlock Ave & Westchester Ave (SW),6,40.827298,-73.886256
Whitlock Av - Whitlock Ave & Westchester Ave (SE),6,40.827295,-73.886082
Zerega Av - Westchester Ave & Zerega Ave (NW),6,40.836954,-73.846653
Zerega Av - Westchester Ave & Zerega Ave (SE),6,40.836613,-73.846726
149th St-3rd Av - Melrose Ave & 149th St (NW),"2,5",40.816242,-73.917934
149th St-3rd Av - 3rd Ave & 149th St (NW),"2,5",40.816265,-73.917456
149th St-3rd Av - Melrose Ave & 149th St (SW),"2,5",40.815971,-73.917983
149th St-3rd Av - 3rd Ave & 149th St (SE),"2,5",40.815881,-73.917522
149th St-3rd Av - Melrose Ave & 149th St (SW),"2,5",40.816033,-73.918064
149th St-3rd Av - 3rd Ave & 149th St (SE),"2,5",40.815853,-73.917759
149th St-3rd Av - Melrose Ave & 149th St (NE),"2,5",40.816315,-73.917543
149th St-3rd Av - Melrose Ave & 149th St (NW),"2,5",40.816247,-73.917798
174th St - Boston Rd & 174th St (SE),"2,5",40.837241,-73.88756
174th St - Boston Rd & 174th St (NE),"2,5",40.837306,-73.887287
174th St - Boston Rd & 174th St (SW),"2,5",40.837325,-73.888048
174th St - Boston Rd & 174th St (NW),"2,5",40.837599,-73.887755
219th St - White Plains Rd & 219th St (SE),"2,5",40.883439,-73.862743
219th St - White Plains Rd & 219th St (NW),"2,5",40.883723,-73.86287
225th St - White Plains Rd & 225th St (NW),"2,5",40.887972,-73.860517
225th St - White Plains Rd & 225th St (SW),"2,5",40.887709,-73.860666
225th St - White Plains Rd & 225th St (SE),"2,5",40.88766,-73.860444
233rd St - White Plains Rd & 233rd St (NW),"2,5",40.893597,-73.857405
233rd St - White Plains Rd & 233rd St (SE),"2,5",40.893215,-73.857344
238th St-Nereid Av - White Plains Rd & Nereid Ave (NW),"2,5",40.89862,-73.854316
238th St-Nereid Av - White Plains Rd & Nereid Ave (SE),"2,5",40.898323,-73.854288
Allerton Av - White Plains Rd & Allerton Ave (NW),"2,5",40.865605,-73.867476
Allerton Av - White Plains Rd & Allerton Ave (SE),"2,5",40.865257,-73.867246
Bronx Park East - Birchall Ave & Sagamore St (NW),"2,5",40.849169,-73.868356
Bronx Park East - Birchall Ave & Sagamore St (NE),"2,5",40.849128,-73.868213
Bronx Park East - Birchall Ave & Sagamore St (SE),"2,5",40.848762,-73.868382
Burke Av - White Plains & Burke Ave (SE),"2,5",40.871215,-73.867043
Burke Av - White Plains Rd & Burke Ave (NW),"2,5",40.871631,-73.867283
East 180th St - Morris Park Ave & 180th St (NW),"2,5",40.841453,-73.872892
East 180th St - Morris Park Ave & 180th St (NW),"2,5",40.841223,-73.873499
East Tremont Av-West Farms Sq - Boston Rd & E Tremont Ave (NE),"2,5",40.840354,-73.879833
East Tremont Av-West Farms Sq - Boston Rd & 178th St (SE),"2,5",40.840639,-73.879555
East Tremont Av-West Farms Sq - Boston Rd & 178th St (NW),"2,5",40.841078,-73.879397
East Tremont Av-West Farms Sq - Boston Rd & 178th St (SW),"2,5",40.840815,-73.879623
East Tremont Av-West Farms Sq - Boston Rd & E Tremont Ave (NW),"2,5",40.840434,-73.880005
Freeman St - Southern Blvd & Freeman St (SE),"2,5",40.830074,-73.891486
Freeman St - Southern Blvd & Freeman St (NE),"2,5",40.830177,-73.891482
Freeman St - Southern Blvd & Freeman St (NW),"2,5",40.830369,-73.892015
Freeman St - Southern Blvd & Freeman St (SW),"2,5",40.829903,-73.89202
Gun Hill Rd - White Plains Rd & 211th St (SW),"2,5",40.877779,-73.866185
Gun Hill Rd - White Plains Rd & 211th St (SW),"2,5",40.877839,-73.866421
Intervale Av - Intervale Ave & Westchester Ave (NE),"2,5",40.8224,-73.896508
Intervale Av - Intervale Ave & Westchester Ave (NE),"2,5",40.822447,-73.896719
Intervale Av - Intervale Ave & Westchester Ave (SE),"2,5",40.822095,-73.896681
Jackson Av - Jackson Ave & Westchester Ave (NE),"2,5",40.816589,-73.907893
Jackson Av - Jackson Ave & 152nd St (NE),"2,5",40.816201,-73.907942
Jackson Av - Jackson Ave & 152nd St (NE),"2,5",40.816349,-73.907836
Jackson Av - Jackson Ave & Westchester Ave (NW),"2,5",40.816873,-73.907379
Pelham Parkway - White Plains Rd & Pelham Pkwy (NE),"2,5",40.858029,-73.867481
Pelham Parkway - White Plains Rd & Pelham Pkwy (SE),"2,5",40.856338,-73.867544
Pelham Parkway - White Plains Rd & Pelham Pkwy (SW),"2,5",40.856403,-73.867771
Pelham Parkway - White Plains Rd & Pelham Pkwy (NW),"2,5",40.858041,-73.867718
Pelham Parkway - White Plains Rd & Pelham Pkwy (SE),"2,5",40.856337,-73.867521
Prospect Av -  &  (),"2,5",40.819368,-73.901966
Prospect Av - Westchester & 160th St (SW),"2,5",40.819583,-73.901958
Prospect Av - Prospect Ave & 160th St (NW),"2,5",40.819887,-73.901666
Prospect Av - Prospect Ave & Longwood Ave (NE),"2,5",40.819562,-73.901498
Prospect Av - Prospect Ave & Longwood Ave (NE),"2,5",40.819684,-73.901348
Simpson St - Westchester Ave & Simpson St (NW),"2,5",40.824177,-73.893114
Simpson St - Westchester Ave & Simpson St (NE),"2,5",40.824356,-73.892897
Simpson St - Westchester Ave & Simpson St (NE),"2,5",40.824358,-73.892724
Simpson St - Westchester Ave & Simpson St (SW),"2,5",40.823884,-73.893197
Simpson St - Westchester Ave & Simpson St (SE),"2,5",40.824118,-73.892731
